sid,block_type,unitx,trial_type,frequency_type,rt.med,rt.mean,n,correctn,acc
sub121,learning,L05,random,high,502.305799993337,511.97393846031,17,17,1
sub121,learning,L05,random,low,531.405500001711,568.669325000519,13,13,1
sub121,learning,L05,regular,high,517.060500002117,533.92638555601,37,37,1
sub121,learning,L06,random,high,537.730599993665,544.047955882193,21,21,1
sub121,learning,L06,random,low,575.730399999884,565.26264000034,7,7,1
sub121,learning,L06,regular,high,507.447349998984,550.20956345257,39,39,1
sub121,learning,L07,random,high,533.579199996893,522.227586110131,21,21,1
sub121,learning,L07,random,low,490.860400001111,499.972295833686,10,10,1
sub121,learning,L07,regular,high,482.968050000636,475.468366667011,36,36,1
sub121,learning,L08,random,high,495.209050000995,496.466205129251,19,19,1
sub121,learning,L08,random,low,461.038249999547,511.87443750041,8,8,1
sub121,learning,L08,regular,high,427.263700003095,447.94420722214,38,38,1
sub121,learning,L09,random,high,491.155650001019,578.56199666785,20,20,1
sub121,learning,L09,random,low,580.932799999573,571.067775001211,4,4,1
sub121,learning,L09,regular,high,475.669000003109,468.212434445296,36,36,1
sub121,learning,L10,random,high,541.059274999498,550.869941666254,15,15,1
sub121,learning,L10,random,low,533.601675000682,540.83244374912,11,11,1
sub121,learning,L10,regular,high,500.583299995924,514.269832142678,35,35,1
sub121,learning,L11,random,high,613.184599998931,626.252184614434,15,15,1
sub121,learning,L11,random,low,650.155300001643,650.513912501083,8,8,1
sub121,learning,L11,regular,high,497.634349998407,519.121782811681,39,39,1
sub121,learning,L12,random,high,526.856100004807,548.920500000208,21,21,1
sub121,learning,L12,random,low,529.446100001223,530.328961113102,6,6,1
sub121,learning,L12,regular,high,505.015300002924,520.890115615539,37,37,1
sub121,learning,L13,random,high,480.220424999061,498.986189285071,19,19,1
sub121,learning,L13,random,low,480.00360000151,484.741833334435,7,7,1
sub121,learning,L13,regular,high,472.421649999887,485.512566776613,37,37,1
sub121,learning,L14,random,high,534.352699998635,544.978104165542,18,18,1
sub121,learning,L14,random,low,529.991350002092,544.796462501836,8,8,1
sub121,learning,L14,regular,high,461.365300005127,491.122619444771,37,37,1
sub121,learning,L15,random,high,476.723050000146,514.929602500706,22,22,1
sub121,learning,L15,random,low,483.394549999503,489.828549999705,7,7,1
sub121,learning,L15,regular,high,460.025050000695,452.470760555298,39,39,1
sub121,learning,L16,random,high,513.934100003098,520.531064706173,21,21,1
sub121,learning,L16,random,low,493.983600004867,502.142128572034,10,10,1
sub121,learning,L16,regular,high,442.742100000032,432.580985556746,39,39,1
sub121,learning,L17,random,high,529.080799999065,532.402238332927,23,23,1
sub121,learning,L17,random,low,530.024450003111,514.489249999921,7,7,1
sub121,learning,L17,regular,high,451.593050001975,460.42671166653,39,39,1
sub121,learning,L18,random,high,484.257050004089,506.915947500238,24,24,1
sub121,learning,L18,random,low,465.683974996864,485.445999999683,12,12,1
sub121,learning,L18,regular,high,439.565450000373,399.506304687899,37,37,1
sub121,learning,L19,random,high,540.68350000307,524.801939998967,20,20,1
sub121,learning,L19,random,low,445.485399999598,452.836180001032,5,5,1
sub121,learning,L19,regular,high,471.573900002113,479.324753110519,39,39,1
sub121,learning,L20,random,high,553.429300000062,549.914626389182,21,21,1
sub121,learning,L20,random,low,493.880800000625,481.409666665665,10,10,1
sub121,learning,L20,regular,high,456.755049999629,446.547320555288,37,37,1
sub121,testing,T01,random,high,401.618574998793,401.121038541836,23,23,1
sub121,testing,T01,random,low,386.481349998576,401.652893749088,11,11,1
sub121,testing,T01,regular,high,365.411624999979,358.081040104594,38,38,1
sub121,testing,T02,random,high,336.796550000145,348.151605554651,20,20,1
sub121,testing,T02,random,low,337.190999998711,335.35781666554,7,7,1
sub121,testing,T02,regular,high,317.131299998437,324.925767261248,37,37,1
sub121,testing,T03,random,high,344.501400002628,348.7049811109,21,21,1
sub121,testing,T03,random,low,364.762100005464,381.636042856761,7,7,1
sub121,testing,T03,regular,high,335.422550002477,335.176207738706,36,36,1
sub121,testing,T04,random,high,342.93240000261,343.633218750028,22,22,1
sub121,testing,T04,random,low,381.736299998011,392.693073808741,10,10,1
sub121,testing,T04,regular,high,334.119550003379,351.045528750024,35,35,1
sub121,testing,T05,random,high,350.147099999958,368.88805595308,22,22,1
sub121,testing,T05,random,low,349.345299997367,332.937892857964,8,8,1
sub121,testing,T05,regular,high,331.80642500156,328.674813095599,36,36,1
sub122,learning,L01,random,high,490.979399983189,497.686058324083,16,16,1
sub122,learning,L01,random,low,516.343400013284,520.000850006909,8,8,1
sub122,learning,L01,regular,high,455.761374985741,474.035983332063,36,36,1
sub122,learning,L02,random,high,511.004300016793,526.453446427435,21,21,1
sub122,learning,L02,random,low,641.637000007904,626.316125002632,4,4,1
sub122,learning,L02,regular,high,484.039025002858,514.233856251719,38,38,1
sub122,learning,L03,random,high,537.311399995815,553.563683333778,14,14,1
sub122,learning,L03,random,low,664.11560002598,637.10039286525,9,9,1
sub122,learning,L03,regular,high,516.853449997143,531.638715002272,38,38,1
sub122,learning,L04,random,high,533.828600018751,552.043866663007,19,19,1
sub122,learning,L04,random,low,565.072800003691,575.279799995769,8,8,1
sub122,learning,L04,regular,high,554.179399987334,553.435532222243,37,37,1
sub122,learning,L05,random,high,568.529349999153,560.775370837089,15,15,1
sub122,learning,L05,random,low,556.111300014891,582.36971364055,12,12,1
sub122,learning,L05,regular,high,552.228850006941,538.878813332121,39,39,1
sub122,learning,L06,random,high,596.350699983304,622.872267851822,16,16,1
sub122,learning,L06,random,low,692.699100007303,672.909514284194,7,7,1
sub122,learning,L06,regular,high,556.275225011632,568.975281773722,37,37,1
sub122,learning,L07,random,high,525.039175008715,572.078142860846,18,18,1
sub122,learning,L07,random,low,526.524800021434,557.163466673551,11,11,1
sub122,learning,L07,regular,high,526.89680000185,549.537836999387,37,37,1
sub122,learning,L08,random,high,553.028700000141,575.485858332185,14,14,1
sub122,learning,L08,random,low,594.921649993921,642.4588999962,10,10,1
sub122,learning,L08,regular,high,534.898575002444,552.740801563535,35,35,1
sub122,learning,L09,random,high,529.544724988227,533.034516669605,19,19,1
sub122,learning,L09,random,low,567.889899990405,583.414864283571,10,10,1
sub122,learning,L09,regular,high,510.280699993018,523.06515699799,38,38,1
sub122,learning,L10,random,high,555.618824997509,542.24541250187,19,19,1
sub122,learning,L10,random,low,491.976099991007,525.356071431556,7,7,1
sub122,learning,L10,regular,high,513.580300001195,544.511741353896,38,38,1
sub122,learning,L11,random,high,597.953450007481,618.987273078976,16,16,1
sub122,learning,L11,random,low,535.868599981768,535.127325640926,17,17,1
sub122,learning,L11,regular,high,532.12329998496,540.290785223155,35,35,1
sub122,learning,L12,random,high,497.517199983122,527.943376927466,17,17,1
sub122,learning,L12,random,low,524.184600013541,524.254272226244,10,10,1
sub122,learning,L12,regular,high,523.078450001776,552.872516457804,36,36,1
sub122,learning,L13,random,high,573.439350002445,590.544311113465,16,16,1
sub122,learning,L13,random,low,544.567950004421,561.058274995958,11,11,1
sub122,learning,L13,regular,high,497.153650008841,525.661466151919,38,38,1
sub122,learning,L14,random,high,550.098100007745,552.40295769405,18,18,1
sub122,learning,L14,random,low,547.7376000199,627.483672222028,12,12,1
sub122,learning,L14,regular,high,540.849425000488,564.842935417801,37,37,1
sub122,learning,L15,random,high,496.767849981552,494.160898611477,17,17,1
sub122,learning,L15,random,low,525.250325008528,567.610255004547,13,13,1
sub122,learning,L15,regular,high,491.203424986452,513.56199702336,34,34,1
sub122,learning,L16,random,high,579.545499989763,593.155731816131,12,12,1
sub122,learning,L16,random,low,540.439700009301,552.28597777831,9,9,1
sub122,learning,L16,regular,high,529.576050001197,532.544779792958,35,35,1
sub122,learning,L17,random,high,554.30654999509,559.530474996791,18,18,1
sub122,learning,L17,random,low,534.710549996817,543.305134997354,12,12,1
sub122,learning,L17,regular,high,472.931399999652,479.51710500347,36,36,1
sub122,learning,L18,random,high,463.424074994691,475.99284166184,14,14,1
sub122,learning,L18,random,low,504.653050011257,527.638608336727,14,14,1
sub122,learning,L18,regular,high,468.553100014105,467.506675998739,37,37,1
sub122,learning,L19,random,high,499.828400003025,518.026407051552,22,22,1
sub122,learning,L19,random,low,530.877249984769,542.759338888573,10,10,1
sub122,learning,L19,regular,high,490.005899991957,526.935398557172,37,37,1
sub122,learning,L20,random,high,462.658400007058,490.499894446111,19,19,1
sub122,learning,L20,random,low,479.791500023566,483.142214284661,8,8,1
sub122,learning,L20,regular,high,464.804849994835,471.650434616104,38,38,1
sub122,testing,T01,random,high,385.930999997072,378.154057693721,16,16,1
sub122,testing,T01,random,low,367.005749998498,392.225679999683,10,10,1
sub122,testing,T01,regular,high,329.126699994958,353.449142708087,36,36,1
sub122,testing,T02,random,high,370.669099997031,385.83955555805,16,16,1
sub122,testing,T02,random,low,394.283149988041,402.819378565515,9,9,1
